Photo-ID,Clam-ID,Cassette-ID,Site,Date,Width (cm),Height (cm),Notes,
1,1,1,Blyn tidelands,4/10/2020,5.994,5.331,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
2,2,2,Blyn tidelands,4/10/2020,5.19,4.66,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
3,3,3,Blyn tidelands,4/10/2020,6.16,5.45,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
4,4,4,Blyn tidelands,4/10/2020,4.501,3.638,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
5,5,5,Blyn tidelands,4/10/2020,5.304,4.802,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
6,6,6,Blyn tidelands,4/10/2020,6.631,5.468,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
7,7,7,Blyn tidelands,4/10/2020,5.768,4.865,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
8,NA,NA,NA,NA,NA,NA,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
9,8,8,Blyn tidelands,4/10/2020,5.017,5.088,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
10,NA,NA,NA,NA,NA,NA,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
11,NA,NA,NA,NA,NA,NA,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
12,9,9,Blyn tidelands,4/10/2020,4.852,4.268,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
13,10,10,Blyn tidelands,4/10/2020,6.308,5.904,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
14,11,11,Blyn tidelands,4/10/2020,5.318,4.547,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
15,12,12,Blyn tidelands,4/10/2020,6.197,5.262,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
16,13,13,Blyn tidelands,4/10/2020,5.561,4.246,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
17,14,14,Blyn tidelands,4/10/2020,5.122,4.918,"10 indv. from 1-cockle, 4 in tubes; and 10 indv. from 3/4-cockle, 6 in tubes",
